discount rate 0,discount rate 1,discount rate 2,A.0_ID flood wave shape,A.1_Bmax,A.1_pfail,A.1_Brate,A.2_Bmax,A.2_pfail,A.2_Brate,A.3_Bmax,A.3_pfail,A.3_Brate,A.4_Bmax,A.4_pfail,A.4_Brate,A.5_Bmax,A.5_pfail,A.5_Brate,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,policy_name
1.0,0.0,0.0,59,177.79997221705574,0.4523710905746987,1.0,265.24837661876506,0.4918671839426259,1.0,259.81807415158914,0.066097822983843,0.0,197.2329067009401,0.5177391076096309,1.0,250.8002614573737,0.6266789215624736,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,5,6,0,0,0,0,0,0,7,3,4,scenario_5,policy_528,dikesnet,2779781918.6271763,0.0,0.0,policy_528
0.0,1.0,2.0,56,88.94371249814412,0.4199386610896389,1.0,146.04073656435395,0.594710567648668,1.0,61.69192576323024,0.1501769790823206,1.0,126.22580588848274,0.6122357670468133,0.0,213.64786135390892,0.4517392165781554,1.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,7,6,5,0,0,0,0,0,0,8,2,3,scenario_1,policy_529,dikesnet,166068239.79295176,0.0,61400000.0,policy_529
2.0,1.0,1.0,61,170.15827558293674,0.2991216406253392,1.0,115.78975535059163,0.959846769361842,1.0,144.25353841372117,0.0809312703459713,2.0,176.85772908174306,0.3839733946141132,1.0,275.1652389403406,0.3397437911850972,1.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,7,6,5,0,0,0,0,0,0,8,2,3,scenario_2,policy_529,dikesnet,326873865.4953828,0.0,61400000.0,policy_529
1.0,0.0,1.0,58,264.830387795446,0.1876476193862079,1.0,156.89714316621036,0.9352932819705124,1.0,225.75562755879147,0.0324703838121146,1.0,168.99337531540922,0.5949670642485965,1.0,231.4922817597655,0.4727037730072599,1.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,7,6,5,0,0,0,0,0,0,8,2,3,scenario_3,policy_529,dikesnet,399502371.4003066,0.0,61400000.0,policy_529
2.0,1.0,1.0,92,59.92425911288652,0.1456031763026122,2.0,225.88750188396207,0.7764663619024178,1.0,152.73514468652436,0.1306212911082276,1.0,216.77794605479065,0.4046754645021818,1.0,49.78858471670392,0.247421868493569,1.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,7,6,5,0,0,0,0,0,0,8,2,3,scenario_4,policy_529,dikesnet,369428879.53053164,0.0,61400000.0,policy_529
1.0,0.0,0.0,59,177.79997221705574,0.4523710905746987,1.0,265.24837661876506,0.4918671839426259,1.0,259.81807415158914,0.066097822983843,0.0,197.2329067009401,0.5177391076096309,1.0,250.8002614573737,0.6266789215624736,1.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,7,6,5,0,0,0,0,0,0,8,2,3,scenario_5,policy_529,dikesnet,2152592753.8809204,0.0,61400000.0,policy_529
0.0,1.0,2.0,56,88.94371249814412,0.4199386610896389,1.0,146.04073656435395,0.594710567648668,1.0,61.69192576323024,0.1501769790823206,1.0,126.22580588848274,0.6122357670468133,0.0,213.64786135390892,0.4517392165781554,1.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,4,6,4,0,0,0,0,0,0,5,3,6,scenario_1,policy_530,dikesnet,24331009.798074197,0.0,92100000.0,policy_530
2.0,1.0,1.0,61,170.15827558293674,0.2991216406253392,1.0,115.78975535059163,0.959846769361842,1.0,144.25353841372117,0.0809312703459713,2.0,176.85772908174306,0.3839733946141132,1.0,275.1652389403406,0.3397437911850972,1.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,4,6,4,0,0,0,0,0,0,5,3,6,scenario_2,policy_530,dikesnet,34463632.55985618,0.0,92100000.0,policy_530
1.0,0.0,1.0,58,264.830387795446,0.1876476193862079,1.0,156.89714316621036,0.9352932819705124,1.0,225.75562755879147,0.0324703838121146,1.0,168.99337531540922,0.5949670642485965,1.0,231.4922817597655,0.4727037730072599,1.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,4,6,4,0,0,0,0,0,0,5,3,6,scenario_3,policy_530,dikesnet,65967393.393612415,0.0,92100000.0,policy_530
2.0,1.0,1.0,92,59.92425911288652,0.1456031763026122,2.0,225.88750188396207,0.7764663619024178,1.0,152.73514468652436,0.1306212911082276,1.0,216.77794605479065,0.4046754645021818,1.0,49.78858471670392,0.247421868493569,1.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,4,6,4,0,0,0,0,0,0,5,3,6,scenario_4,policy_530,dikesnet,84795120.66957724,0.0,92100000.0,policy_530
1.0,0.0,0.0,59,177.79997221705574,0.4523710905746987,1.0,265.24837661876506,0.4918671839426259,1.0,259.81807415158914,0.066097822983843,0.0,197.2329067009401,0.5177391076096309,1.0,250.8002614573737,0.6266789215624736,1.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,4,6,4,0,0,0,0,0,0,5,3,6,scenario_5,policy_530,dikesnet,964411197.5912259,0.0,92100000.0,policy_530
0.0,1.0,2.0,56,88.94371249814412,0.4199386610896389,1.0,146.04073656435395,0.594710567648668,1.0,61.69192576323024,0.1501769790823206,1.0,126.22580588848274,0.6122357670468133,0.0,213.64786135390892,0.4517392165781554,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,5,0,0,0,0,0,0,0,2,7,scenario_1,policy_531,dikesnet,1425256334.19064,0.0,30700000.0,policy_531
2.0,1.0,1.0,61,170.15827558293674,0.2991216406253392,1.0,115.78975535059163,0.959846769361842,1.0,144.25353841372117,0.0809312703459713,2.0,176.85772908174306,0.3839733946141132,1.0,275.1652389403406,0.3397437911850972,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,5,0,0,0,0,0,0,0,2,7,scenario_2,policy_531,dikesnet,1350057349.1143656,0.0,30700000.0,policy_531
1.0,0.0,1.0,58,264.830387795446,0.1876476193862079,1.0,156.89714316621036,0.9352932819705124,1.0,225.75562755879147,0.0324703838121146,1.0,168.99337531540922,0.5949670642485965,1.0,231.4922817597655,0.4727037730072599,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,5,0,0,0,0,0,0,0,2,7,scenario_3,policy_531,dikesnet,399502559.0120196,0.0,30700000.0,policy_531
2.0,1.0,1.0,92,59.92425911288652,0.1456031763026122,2.0,225.88750188396207,0.7764663619024178,1.0,152.73514468652436,0.1306212911082276,1.0,216.77794605479065,0.4046754645021818,1.0,49.78858471670392,0.247421868493569,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,5,0,0,0,0,0,0,0,2,7,scenario_4,policy_531,dikesnet,743986323.6542603,0.0,30700000.0,policy_531
1.0,0.0,0.0,59,177.79997221705574,0.4523710905746987,1.0,265.24837661876506,0.4918671839426259,1.0,259.81807415158914,0.066097822983843,0.0,197.2329067009401,0.5177391076096309,1.0,250.8002614573737,0.6266789215624736,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,5,0,0,0,0,0,0,0,2,7,scenario_5,policy_531,dikesnet,2577115529.678558,0.0,30700000.0,policy_531
