generational_distance,hypervolume,epsilon_indicator,inverted_gd,spacing,nfe
inf,0.0,inf,inf,0.0,0
4.982409178542515,0.0,3.303517252485773,3.427751926526745,6061.207185548524,100
1.777387081904893,0.0,1.1941696049919657,0.8912773588516937,7309.327904126582,1100
1.0334094712821693,0.23177563163542722,0.5682137834036568,0.3689201627960919,3287.274801423864,2198
1.041933420194029,0.30768607203874687,0.5682137834036568,0.30304228238087166,2881.479172742373,3296
0.949654074858173,0.3145230868889016,0.5682137834036568,0.29502719090066903,2837.3903740752476,4392
0.7870124477821747,0.32356221391929985,0.5682137834036568,0.27911731567757586,3667.578307809507,5491
0.5243725566877085,0.3352726032742144,0.5682137834036568,0.26606140350077856,4810.397628934077,6588
0.5380557849458071,0.336901556088443,0.5682137834036568,0.2599062606036952,4519.988688225251,7680
0.5103061504818792,0.3369123754936695,0.5682137834036568,0.25989708735265293,5719.235843131183,8772
0.5669479530424153,0.3369123754936695,0.5682137834036568,0.25989836763310936,5552.414567856652,9864
0.5317858904039446,0.3369123754936695,0.5682137834036568,0.2598907907221436,5882.674072893727,10956
0.500408817602709,0.3369123754936695,0.5682137834036568,0.25989076263046296,6017.236461940104,12046
0.49675502939000366,0.33691435744825676,0.5682137834036568,0.2598816039968738,6110.704166587423,13046
0.5117873046551029,0.33691435744825676,0.5682137834036568,0.25988336815571056,5954.3067822300945,14142
0.5117873046551029,0.33691435744825676,0.5682137834036568,0.25988336815571056,5954.3067822300945,15228
0.5155874277736944,0.336918163964265,0.5682137834036568,0.25987429279748603,5673.305736854882,16323
0.5155874277736944,0.336918163964265,0.5682137834036568,0.25987429279748603,5673.305736854882,17416
0.49720016024978914,0.33691816396467067,0.5682137834036568,0.25986672222477614,6266.8449470356045,18513
0.4838302534439746,0.33691816396467067,0.5682137834036568,0.25986672191560894,6042.801102148259,19605
0.4838302534439746,0.33691816396467067,0.5682137834036568,0.25986672191560894,6042.801102148259,20001
