generational_distance,hypervolume,epsilon_indicator,inverted_gd,spacing,nfe
inf,0.0,inf,inf,0.0,0
4.739921926423864,0.0,3.4314042054182963,3.4542383871298075,10221.683983443065,100
1.576252089219293,0.07072268695380814,0.6303760370599589,0.6634539776246546,7809.334059585322,1197
1.243693640855808,0.26294940359606994,0.6264262056217829,0.3331553421163781,3584.0303718612117,2293
1.1310489401202692,0.2682313788648307,0.6264262056217829,0.30823589818003955,2815.4706327444455,3391
0.7553571344896843,0.28182005673208177,0.6172040518907803,0.28307280918833017,2973.5562617025685,4485
0.6267806916917449,0.292125197037673,0.6172040518907803,0.2588146284381918,4264.564690368088,5485
0.5650280305955888,0.2939145381857005,0.6168530717222463,0.2554480614556258,6041.018740675386,6581
0.6005935933576952,0.2939356506398911,0.6168530717222463,0.25530427510129355,5897.922473278644,7679
0.5917739807106513,0.2939467595873054,0.6168530717222463,0.26451725641228935,5208.917019005387,8776
0.5917739807106513,0.2939467595873054,0.6168530717222463,0.26451725641228935,5208.917019005387,9869
0.619944606230674,0.2939467595873054,0.6168530717222463,0.26451725641228935,5112.350086729034,10961
0.5850330412086769,0.2939467595884892,0.6168530717222463,0.26451725641228935,5262.389913050405,12050
0.5850135508981525,0.29395254372930135,0.6168530717222463,0.26451725641228935,5260.8612237118605,13140
0.5850135508981525,0.29395254372930135,0.6168530717222463,0.26451725641228935,5260.8612237118605,14228
0.5850135508981525,0.29395254372930135,0.6168530717222463,0.26451725641228935,5260.8612237118605,15319
0.6550963656367225,0.29395254372930135,0.6168530717222463,0.26451725641228935,5364.843206561473,16414
0.6550963656367225,0.29395254372930135,0.6168530717222463,0.26451725641228935,5364.843206561473,17505
0.6550963656367225,0.29395254372930135,0.6168530717222463,0.26451725641228935,5364.843206561473,18598
0.6550963656367225,0.29395254372930135,0.6168530717222463,0.26451725641228935,5364.843206561473,19691
0.6550963656367225,0.29395254372930135,0.6168530717222463,0.26451725641228935,5364.843206561473,20090
